ev_bin,la_bin,dir_bin,xBA
1,-21,-20,1.0
2,-43,-115,0.0
2,-33,10,0.0
2,-31,5,1.0
2,-16,120,0.0
2,-13,-5,0.0
2,-4,-175,0.0
3,-72,-145,0.0
3,-40,35,0.0
3,-19,-5,0.0
3,-12,-170,0.0
4,-14,-135,0.0
4,-5,75,0.0
5,-65,-120,0.0
5,-52,-115,0.0
5,-39,-10,0.0
5,-31,-25,0.0
5,-31,25,0.0
5,-26,-120,0.0
5,-17,-5,0.0
5,-9,-160,1.0
6,-80,80,0.0
6,-64,50,0.0
6,-54,-80,0.0
6,-49,5,0.0
6,-29,-20,1.0
6,-28,-65,0.0
6,-25,-45,0.0
6,-24,-120,1.0
6,-23,-90,0.0
6,-19,10,1.0
6,-8,25,0.0
6,-5,10,0.0
6,-3,0,1.0
6,-2,-45,0.0
7,-66,150,1.0
7,-63,170,1.0
7,-60,-65,1.0
7,-43,-135,0.0
7,-40,-10,1.0
7,-39,40,0.0
7,-35,-55,0.0
7,-34,-105,0.0
7,-28,5,0.0
7,-27,20,1.0
7,-19,-15,1.0
7,-19,-5,0.0
7,-10,-90,0.0
7,-5,-90,0.0
7,-2,-80,0.0
7,-2,-10,0.0
7,-2,15,0.0
7,0,45,1.0
8,-71,130,0.0
8,-44,45,0.0
8,-43,-110,0.0
8,-43,165,0.0
8,-22,-30,0.0
8,-16,-175,0.0
9,-73,-150,0.0
9,-58,20,0.0
9,-38,0,0.0
9,-35,90,0.0
9,-33,-5,0.0
9,-33,155,0.0
9,-20,-5,0.0
9,-20,0,0.0
9,-17,-35,1.0
9,-17,-5,0.0
9,-16,5,1.0
9,-15,-140,0.0
9,-13,5,0.0
9,-11,-60,0.0
10,-74,35,1.0
10,-55,-80,1.0
10,-48,-70,0.0
10,-45,165,0.0
10,-44,155,0.0
10,-40,55,0.0
10,-30,120,1.0
10,-29,60,0.0
10,-21,-170,0.0
10,-21,0,0.0
10,-13,10,0.0
10,-11,0,0.0
10,-6,-165,0.0
10,-4,-100,0.0
10,-4,-65,1.0
11,-46,5,0.0
11,-43,60,0.0
11,-38,40,1.0
11,-36,-65,0.0
11,-35,15,1.0
11,-33,135,1.0
11,-32,-165,0.0
11,-24,-35,1.0
11,-23,-15,1.0
11,-19,0,0.0
11,-17,5,1.0
11,-16,-40,1.0
11,-16,-5,0.0
11,-14,-100,0.0
11,-12,0,0.0
11,-10,-20,0.0
11,-10,5,0.0
11,-9,-20,1.0
11,-5,-20,1.0
11,15,-140,0.0
12,-69,150,0.0
12,-64,5,1.0
12,-60,-85,0.0
12,-53,-80,0.0
12,-41,-15,0.0
12,-39,-75,0.0
12,-32,25,0.0
12,-30,0,0.0
12,-28,-25,1.0
12,-26,140,0.0
12,-24,-30,0.0
12,-21,-35,0.0
12,-17,-35,0.0
12,-17,-5,0.0
12,-16,-5,0.0
12,-14,100,1.0
12,-13,-20,1.0
12,-13,-5,0.0
12,-12,-60,0.0
12,-12,10,0.0
12,-10,-10,0.0
12,-10,80,0.0
12,-5,25,0.0
12,-4,10,0.0
12,-3,20,0.0
12,39,-20,1.0
12,68,-70,0.0
13,-70,-100,0.0
13,-64,25,0.0
13,-59,0,0.0
13,-54,-50,1.0
13,-53,-50,1.0
13,-50,-100,0.0
13,-49,-35,1.0
13,-49,40,0.0
13,-41,-110,1.0
13,-36,-125,0.0
13,-35,10,0.0
13,-29,-15,0.0
13,-25,0,1.0
13,-25,175,0.0
13,-24,-5,0.0
13,-23,5,1.0
13,-21,15,0.0
13,-20,-170,0.0
13,-20,0,0.0
13,-19,135,1.0
13,-17,5,0.0
13,-16,-20,0.0
13,-16,0,0.0
13,-13,0,0.0
13,-9,-45,1.0
13,-6,-40,0.0
13,-4,145,1.0
13,-2,-30,1.0
13,-2,5,1.0
13,14,35,1.0
13,15,30,0.0
13,21,15,0.0
14,-82,145,1.0
14,-81,155,0.0
14,-77,10,1.0
14,-75,50,0.0
14,-62,165,0.0
14,-61,-135,0.0
14,-61,135,0.0
14,-58,75,0.0
14,-57,-135,0.0
14,-49,-5,0.0
14,-48,45,1.0
14,-44,-15,1.0
14,-43,0,0.0
14,-42,-110,1.0
14,-42,-50,0.0
14,-40,-50,1.0
14,-38,45,0.0
14,-35,-170,0.0
14,-25,-30,0.0
14,-24,-15,0.0
14,-23,-35,0.0
14,-23,0,0.0
14,-21,0,0.0
14,-20,-25,1.0
14,-15,20,1.0
14,-14,-5,0.0
14,-12,-5,1.0
14,-11,0,0.0
14,-8,0,0.0
14,-8,15,0.0
14,-6,-100,1.0
14,-5,80,0.0
14,16,5,0.0
14,24,65,0.0
15,-79,0,0.0
15,-77,65,0.0
15,-74,-105,0.0
15,-69,-70,0.0
15,-66,0,0.0
15,-62,-80,0.0
15,-61,40,0.0
15,-58,-60,0.0
15,-57,150,0.0
15,-56,-150,0.0
15,-53,105,0.0
15,-52,45,0.0
15,-50,-60,1.0
15,-48,-50,0.0
15,-45,-80,0.0
15,-44,60,1.0
15,-41,70,1.0
15,-40,-75,1.0
15,-38,-15,0.0
15,-36,-100,1.0
15,-36,0,0.0
